,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
86,11,18,22,37.0,56.0,66.0,71.0,86.0,,,,,,,
87,17,25,54,68.0,87.0,,,,,,,,,,
88,5,13,30,36.0,51.0,62.0,73.0,88.0,,,,,,,
89,1,14,19,44.0,57.0,72.0,75.0,89.0,,,,,,,
90,1,17,27,45.0,49.0,69.0,90.0,,,,,,,,
91,7,17,21,38.0,42.0,58.0,60.0,65.0,79.0,91.0,,,,,
92,39,44,45,49.0,53.0,58.0,78.0,92.0,,,,,,,
93,7,9,23,24.0,40.0,41.0,77.0,79.0,93.0,,,,,,
94,5,6,18,29.0,32.0,46.0,51.0,56.0,68.0,94.0,,,,,
95,0,4,19,21.0,55.0,60.0,67.0,72.0,95.0,,,,,,
