,0,1
0,"[1, 3]",[22]
1,"[8, 6]",[ 1 17 27 42 45 57 89 90]
2,"[2, 6]",[40 83]
3,"[1, 3]",[3]
4,"[6, 8]",[ 4 34 55 56 67 70]
5,"[3, 5]",[30 60 72]
6,"[4, 6]",[29 32 36 61]
7,"[4, 6]",[35 65 79 91]
8,"[5, 7]",[ 8 36 51 76 84]
9,"[2, 6]",[23 55]
10,"[1, 3]",[54]
11,"[2, 4]",[11 71]
12,"[7, 9]",[12 26 32 41 73 78 82]
13,"[4, 6]",[35 49 62 79]
14,"[8, 10]",[14 33 44 67 69 75 84 89]
15,"[6, 8]",[15 25 30 69 73 82]
16,"[4, 4]",[16 45 53 71]
17,"[2, 6]",[58 90]
18,"[3, 7]",[48 56 94]
19,"[4, 6]",[19 55 72 95]
20,"[3, 7]",[33 59 62]
21,"[3, 5]",[21 91 95]
22,"[6, 10]",[ 0  4 46 55 77 81]
23,"[4, 6]",[12 23 40 93]
24,"[1, 3]",[81]
25,"[6, 10]",[45 54 57 69 73 87]
26,"[4, 6]",[12 26 40 73]
27,"[4, 6]",[ 1 27 42 90]
28,"[3, 5]",[64 81 84]
29,"[7, 11]",[ 2 50 64 74 83 84 94]
30,"[4, 8]",[15 60 73 88]
31,"[4, 4]",[ 7 31 49 65]
32,"[3, 7]",[ 5 68 72]
33,"[5, 5]",[14 20 63 69 74]
34,"[1, 3]",[34]
35,"[4, 6]",[12 13 54 79]
36,"[4, 6]",[ 8 29 36 76]
37,"[5, 9]",[20 24 56 63 81]
38,"[1, 3]",[65]
39,"[1, 3]",[92]
40,"[2, 4]",[ 2 26]
41,"[4, 6]",[17 54 85 91]
42,"[1, 3]",[4]
43,"[4, 6]",[14 17 53 92]
44,"[7, 7]",[ 1 16 45 58 69 90 92]
45,"[3, 5]",[57 68 94]
46,"[2, 4]",[14 54]
47,"[5, 9]",[18 48 65 67 74]
48,"[4, 8]",[11 17 42 71]
49,"[4, 6]",[29 50 64 81]
50,"[4, 8]",[ 5 29 36 51]
51,"[1, 3]",[82]
52,"[6, 8]",[14 16 44 45 53 92]
53,"[7, 7]",[10 17 25 42 47 54 69]
54,"[4, 8]",[ 4  9 19 95]
55,"[5, 7]",[22 56 81 86 94]
56,"[5, 7]",[25 45 46 66 68]
57,"[4, 8]",[ 1 17 58 92]
58,"[4, 8]",[20 33 70 75]
59,"[7, 7]",[ 5 21 30 32 60 82 95]
60,"[2, 4]",[13 79]
61,"[4, 6]",[13 24 62 88]
62,"[5, 9]",[ 4 20 24 81 83]
63,"[1, 3]",[37]
64,"[4, 6]",[ 7 42 48 65]
65,"[3, 5]",[18 22 66]
66,"[3, 5]",[ 4 14 67]
67,"[6, 8]",[ 1 32 57 68 82 87]
68,"[2, 4]",[53 69]
69,"[7, 11]",[ 4 24 37 55 56 59 70]
70,"[4, 6]",[10 13 16 71]
71,"[5, 7]",[ 0 32 46 52 95]
72,"[7, 9]",[ 3 12 15 25 26 30 73]
73,"[6, 10]",[33 37 48 50 74 81]
74,"[4, 6]",[14 33 59 75]
75,"[5, 5]",[ 8 36 52 76 82]
76,"[6, 10]",[ 7 22 24 41 50 81]
77,"[1, 3]",[92]
78,"[3, 9]",[35 61 91]
79,"[2, 4]",[30 80]
80,"[8, 10]",[22 24 28 50 63 64 74 77]
81,"[6, 8]",[12 15 32 60 76 82]
82,"[3, 7]",[ 4 29 74]
83,"[5, 7]",[ 8 16 33 64 84]
84,"[3, 5]",[22 31 77]
85,"[6, 8]",[11 18 22 66 71 86]
86,"[2, 4]",[25 68]
87,"[3, 5]",[ 5 13 62]
88,"[3, 5]",[57 75 89]
89,"[3, 5]",[58 79 91]
90,"[4, 8]",[39 45 58 78]
91,"[5, 9]",[ 9 40 77 79 93]
92,"[5, 5]",[ 6 29 32 51 94]
93,"[5, 7]",[ 0  4 19 55 95]
