,0,1
0,"[3, 5]",[22 72 95]
1,"[7, 7]",[27 44 45 57 58 68 89]
2,"[1, 3]",[83]
3,"[4, 10]",[22 34 67 81]
4,"[4, 6]",[30 32 60 94]
5,"[5, 7]",[ 6 29 32 61 94]
6,"[3, 3]",[ 7 35 77]
7,"[9, 11]",[ 8 18 29 33 51 64 74 76 84]
8,"[3, 5]",[55 70 93]
9,"[1, 3]",[54]
10,"[4, 4]",[11 49 76 86]
11,"[4, 8]",[25 26 79 82]
12,"[5, 7]",[13 61 62 71 88]
13,"[6, 10]",[14 17 47 53 75 89]
14,"[2, 4]",[15 80]
15,"[4, 6]",[16 36 53 84]
16,"[7, 9]",[ 1 14 42 49 87 90 91]
17,"[2, 4]",[18 86]
18,"[4, 6]",[19 72 89 95]
19,"[5, 5]",[20 43 59 62 63]
20,"[1, 3]",[60]
21,"[7, 9]",[ 4 22 46 55 77 81 85]
22,"[4, 6]",[ 9 12 23 78]
23,"[3, 5]",[24 63 77]
24,"[6, 8]",[12 15 68 73 82 87]
25,"[4, 6]",[ 2 26 38 40]
26,"[4, 6]",[ 1 49 59 90]
27,"[2, 6]",[50 63]
28,"[10, 8]",[ 2  6 34 37 50 51 64 70 74 94]
29,"[6, 6]",[ 5 15 60 76 80 88]
30,"[3, 5]",[10 49 71]
31,"[4, 8]",[52 60 72 94]
32,"[3, 7]",[14 20 75]
33,"[2, 4]",[29 84]
34,"[6, 8]",[ 7 12 35 54 77 79]
35,"[4, 8]",[ 8 16 29 84]
36,"[7, 11]",[24 29 37 63 64 70 86]
37,"[1, 3]",[73]
38,"[4, 4]",[39 49 64 92]
39,"[2, 4]",[ 2 23]
40,"[1, 3]",[41]
41,"[5, 9]",[13 27 31 42 54]
42,"[6, 4]",[20 24 43 59 62 63]
43,"[7, 7]",[ 1 14 17 44 53 58 92]
44,"[3, 3]",[16 45 53]
45,"[3, 5]",[22 52 82]
46,"[2, 4]",[47 54]
47,"[1, 3]",[65]
48,"[5, 9]",[27 31 42 44 92]
49,"[4, 6]",[ 6 29 64 81]
50,"[3, 5]",[36 51 94]
51,"[3, 5]",[32 76 82]
52,"[3, 7]",[14 69 78]
53,"[8, 8]",[17 25 35 42 54 69 85 87]
54,"[5, 9]",[ 4  9 22 55 95]
55,"[4, 6]",[37 70 81 86]
56,"[3, 7]",[25 57 68]
57,"[4, 6]",[17 44 58 92]
58,"[3, 7]",[20 27 70]
59,"[4, 8]",[ 5 32 60 76]
60,"[6, 8]",[12 13 32 36 61 79]
61,"[3, 3]",[24 37 62]
62,"[5, 7]",[20 24 28 63 81]
63,"[6, 10]",[ 8 28 29 64 81 84]
64,"[6, 8]",[ 7 21 31 38 42 91]
65,"[5, 5]",[18 22 46 57 86]
66,"[4, 8]",[14 48 67 95]
67,"[5, 11]",[25 57 82 87 94]
68,"[5, 5]",[15 25 45 54 90]
69,"[7, 11]",[ 4  9 24 27 29 34 56]
70,"[5, 7]",[10 13 31 71 86]
71,"[4, 6]",[ 0 19 89 95]
72,"[5, 7]",[ 3 25 26 30 38]
73,"[3, 5]",[14 43 63]
74,"[3, 7]",[11 60 82]
75,"[5, 7]",[22 41 50 81 93]
76,"[5, 5]",[12 23 53 78 92]
77,"[6, 6]",[ 7 13 35 61 79 91]
78,"[3, 3]",[15 30 80]
79,"[7, 11]",[ 0 24 50 56 63 74 81]
80,"[6, 10]",[12 15 52 68 76 82]
81,"[3, 7]",[ 2 34 74]
82,"[8, 12]",[ 8 14 28 29 33 34 36 64]
83,"[2, 6]",[22 54]
84,"[3, 7]",[17 68 87]
85,"[2, 4]",[ 5 88]
86,"[4, 8]",[ 1 14 57 72]
87,"[3, 7]",[27 45 69]
88,"[4, 8]",[17 58 60 65]
89,"[2, 4]",[39 78]
90,"[2, 6]",[ 9 77]
91,"[4, 4]",[18 56 68 94]
92,"[3, 5]",[19 60 67]
