,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
36,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 44 89 90],[ 4 15 18 31 36 43],"[4.0, 6.0]",9,5
37,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 27 42 58 89],[ 3 10 15 18 22 25 27 31 32],"[5.0, 9.0]",10,5
38,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 17 27 44 57 58 90],[15 18 22 25 27 31 32 40 43],"[7.0, 9.0]",11,5
39,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 42 45 68 89],[10 11 15 23 27 31 32 36 40],"[5.0, 9.0]",12,5
40,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 27 68 90],[18 23 36 40],"[4.0, 4.0]",13,5
41,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 44 57 58 68],[15 23 25 27 32 43 44],"[5.0, 7.0]",14,5
42,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 44 58 89 90],[ 3  4 15 22 25 31 32 43 44],"[5.0, 9.0]",15,5
43,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 57 58 68 89],[ 4 22 23 25 27 31 32 36 44],"[5.0, 9.0]",16,5
44,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 27 42 45 57 58 89],[ 3 10 11 18 22 25 27 31 40],"[7.0, 9.0]",17,5
45,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 44 45 57 89 90],[ 3 11 22 31 32 40 43 44],"[6.0, 8.0]",18,5
46,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[42 45 57 68 90],[ 3  4 10 11 15 22 23 31 32 36 44],"[5.0, 11.0]",19,5
47,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 45],[ 4 11 22 31 32 36],"[2.0, 6.0]",20,5
48,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[42 45],[10 11 22 31 32 44],"[2.0, 6.0]",21,5
49,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 42 89],[ 3 10 15 18 22 27 44],"[3.0, 7.0]",22,5
