,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
583,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[37 63],[ 5  6 38 46],"[2.0, 4.0]",2,5
584,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 62 63],[ 2  5 21 24 45 46],"[4.0, 6.0]",3,5
585,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[33 43],[ 2  5 16 24 35 46],"[2.0, 6.0]",4,5
586,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[37 59 62],[ 2 16 21 24 38 44 45],"[3.0, 7.0]",5,5
587,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 37 62],[ 6 16 21 24 38 45 46],"[3.0, 7.0]",6,5
588,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 63],[ 6 21 35],"[3.0, 3.0]",7,5
589,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 37 43 62],[ 2  6 21 24 38 45],"[4.0, 6.0]",8,5
590,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 59 62],[ 2  5 16 24 35 44 45 46],"[4.0, 8.0]",9,5
591,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 62 63],[ 2  5 21 24 45 46],"[4.0, 6.0]",10,5
592,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 59 62 63],[ 5 21 44 45 46],"[5.0, 5.0]",11,5
593,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 59 62 63],[ 5 21 44 45 46],"[5.0, 5.0]",12,5
594,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 37 63],[ 5 24 38],"[3.0, 3.0]",13,5
595,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 43 62],[ 2  5 35 45],"[4.0, 4.0]",14,5
596,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20],[ 6 24 46],"[1.0, 3.0]",15,5
597,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 37 59],[ 2  5 21 24 35 38 44 46],"[4.0, 8.0]",16,5
598,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[37 63],[ 5  6 38 46],"[2.0, 4.0]",17,5
599,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 37],[ 5 21 35 38 46],"[3.0, 5.0]",18,5
600,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[59 62 63],[ 2  5  6 16 21 24 44 45 46],"[3.0, 9.0]",19,5
601,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 62 63],[16 21 35 45],"[4.0, 4.0]",20,5
602,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[37 43 62 63],[ 2  5 38 45],"[4.0, 4.0]",21,5
603,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 37 43 59 62 63],[ 5  6 38 44 45 46],"[6.0, 6.0]",22,5
604,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[43 62 63],[ 2  5  6 21 45],"[3.0, 5.0]",23,5
605,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 37],[ 5 21 35 38 46],"[3.0, 5.0]",24,5
606,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[33 62],[ 5  6 16 24 35 45],"[2.0, 6.0]",25,5
607,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 33 37 63],[35 38],"[4.0, 2.0]",26,5
608,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 59 62 63],[ 5 21 44 45 46],"[5.0, 5.0]",27,5
609,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[33 37 59 62],[ 2  5 16 21 35 38 44 45],"[4.0, 8.0]",28,5
610,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,[20 43 62 63],[ 2  5 21 24 45 46],"[4.0, 6.0]",29,5
611,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 65],[ 9 10 17 20],"[2.0, 4.0]",0,5
612,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[65 95],[ 9 10 17 18 32 33],"[2.0, 6.0]",1,5
613,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65 91],[ 9 10 20 22 33 35],"[4.0, 6.0]",2,5
614,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 91 95],[17 18 20 22 32 35],"[4.0, 6.0]",3,5
615,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[60 91],[20 22 32 33],"[2.0, 4.0]",4,5
616,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[60 65],[10 12 17 20 32 33],"[2.0, 6.0]",5,5
617,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65],[ 9 10 12 20 32 33 35],"[3.0, 7.0]",6,5
618,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 65 95],[10 17 18 20 33],"[3.0, 5.0]",7,5
619,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 91],[ 9 17 20 22 32 33 35],"[3.0, 7.0]",8,5
620,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21],[ 9 20 32],"[1.0, 3.0]",9,5
621,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65 91],[ 9 10 20 22 33 35],"[4.0, 6.0]",10,5
622,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 48 65],[10 20 35],"[3.0, 3.0]",11,5
623,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 65],[ 9 10 32 35],"[2.0, 4.0]",12,5
624,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 95],[18 20 32 33],"[2.0, 4.0]",13,5
625,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 48 60 65 91 95],[ 9 10 18 22 32 35],"[6.0, 6.0]",14,5
626,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[65 95],[ 9 10 17 18 32 33],"[2.0, 6.0]",15,5
627,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60 65],[ 9 10 12 17 33],"[3.0, 5.0]",16,5
628,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60],[ 9 12 32 33],"[2.0, 4.0]",17,5
629,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65 91 95],[10 18 20 22 35],"[5.0, 5.0]",18,5
630,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 48 65],[10 20 35],"[3.0, 3.0]",19,5
631,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60 91 95],[18 22],"[4.0, 2.0]",20,5
632,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60 65 91 95],[10 17 18 22 32],"[5.0, 5.0]",21,5
633,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[65],[10 17 32],"[1.0, 3.0]",22,5
634,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60 95],[12 18 32],"[3.0, 3.0]",23,5
635,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 60 65 95],[10 12 17 18],"[4.0, 4.0]",24,5
636,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[65],[10 17 32],"[1.0, 3.0]",25,5
637,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 91 95],[12 17 18 22 32 33 35],"[3.0, 7.0]",26,5
638,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65 95],[10 12 18 20 32 35],"[4.0, 6.0]",27,5
639,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[48 60 65 95],[10 12 18 20 32 35],"[4.0, 6.0]",28,5
640,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,[21 48 91],[12 17 20 22 35],"[3.0, 5.0]",29,5
641,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 56 66 77 85 86],[ 1  6 10 14 18 28 29 31 38 46],"[6.0, 10.0]",0,5
642,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[22 46 55 56 66 81 85 86],[ 0  6 10 14 18 21 29 31 38 39 40 45],"[8.0, 12.0]",1,5
643,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[22 46 56 81 85 86],[ 1  6 10 14 21 29 38 39 40 45],"[6.0, 10.0]",2,5
644,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 46 55 56 77 85 86],[ 0  1  6 10 14 28 38 40 46],"[7.0, 9.0]",3,5
645,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 56 66 77 81 85 86],[ 1  6  9 10 14 21 28 31 38],"[7.0, 9.0]",4,5
646,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 22 56 66 81 85 86],[ 1  6 10 18 21 31 34 38 39 45 46],"[7.0, 11.0]",5,5
647,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0  4 22 46 81 85],[ 1  9 10 14 18 21 34 40 45 46],"[6.0, 10.0]",6,5
648,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[46 55 56 66 81],[ 0 18 21 29 30 31 38 39 40],"[5.0, 9.0]",7,5
649,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0  4 46 55 66 85 86],[ 0  6  9 10 14 29 30 31 34 39 40 45 46],"[7.0, 13.0]",8,5
650,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[46 55 85],[ 0  1 10 18 34 40 45],"[3.0, 7.0]",9,5
651,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[22 77 86],[ 6 28 29 30 45],"[3.0, 5.0]",10,5
652,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 22 55 77 81 85],[ 0  9 10 14 18 21 28 29],"[6.0, 8.0]",11,5
653,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 46 55 77],[ 0  1  9 14 18 28 34 39 40 45],"[4.0, 10.0]",12,5
654,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 22 46 77 85],[ 1  9 10 28 34 39 40],"[5.0, 7.0]",13,5
655,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 22 55 86],[ 0  6 29 30 34 46],"[4.0, 6.0]",14,5
656,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0  4 56 81 85],[ 9 10 14 18 21 30 38 45 46],"[5.0, 9.0]",15,5
657,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[22 55 56 77 81 86],[ 0  6 18 21 28 29 34 38 39 45],"[6.0, 10.0]",16,5
658,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[56 66 77 85 86],[ 1  6 10 28 29 31 38],"[5.0, 7.0]",17,5
659,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 22 46 55 77 81],[ 0  1  9 14 18 21 28 29 40 45],"[6.0, 10.0]",18,5
660,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[81 85 86],[ 6 10 14 21 29 30 34 39 45],"[3.0, 9.0]",19,5
661,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 46 55 85 86],[ 0  1  6  9 10 18 29 30 39 40 45],"[5.0, 11.0]",20,5
662,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 55 56 81 86],[ 0  6  9 18 21 29 38],"[5.0, 7.0]",21,5
663,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0 55 81 86],[ 0  6  9 14 18 21 29 30],"[4.0, 8.0]",22,5
664,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[46 55 56 77],[ 0  1 18 28 29 30 34 38 40 45],"[4.0, 10.0]",23,5
665,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 46 55 66 77],[ 0 28 29 31 40 45 46],"[5.0, 7.0]",24,5
666,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 55 56 81 86],[ 0  6 14 21 38 39 46],"[5.0, 7.0]",25,5
667,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[22 46 56 81],[ 1 14 21 30 34 38 39 40],"[4.0, 8.0]",26,5
668,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 55 66 81 85],[ 0  1 10 21 29 31 39 45 46],"[5.0, 9.0]",27,5
669,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 0  4 22 66 85],[ 1  9 10 18 29 31 39 45 46],"[5.0, 9.0]",28,5
670,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,[ 4 46 56 85],[ 1 10 18 30 38 40 45 46],"[4.0, 8.0]",29,5
671,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[23 93],[ 2 15 25 28],"[2.0, 4.0]",0,5
672,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[23 78 93],[ 2  7 15 28 42],"[3.0, 5.0]",1,5
673,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[40 78],[ 7 15 25 28 37 42],"[2.0, 6.0]",2,5
674,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 23 93],[15 28 34],"[3.0, 3.0]",3,5
675,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[40 78 93],[ 2  7 15 25 37 42 47],"[3.0, 7.0]",4,5
676,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23 40 93],[ 2  7 19 25 37 47],"[4.0, 6.0]",6,5
677,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 12 23 40 78],[ 2 19 25 28 34 37 42],"[5.0, 7.0]",7,5
678,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 12 40 93],[ 7 15 19 25 34 37],"[4.0, 6.0]",8,5
679,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 12 23 78],[ 2 15 19 25 34 42],"[4.0, 6.0]",9,5
680,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23],[ 7 15 19 25],"[2.0, 4.0]",10,5
681,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23 78 93],[ 2 15 19 28 42 47],"[4.0, 6.0]",11,5
682,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 23 40 93],[34 37],"[4.0, 2.0]",12,5
683,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 12 40],[ 2  7 15 19 25 28 34 37 47],"[3.0, 9.0]",13,5
684,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23 40 78],[19 28 37 42],"[4.0, 4.0]",14,5
685,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23],[ 7 15 19 25],"[2.0, 4.0]",15,5
686,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 78],[ 2  7 34 42],"[2.0, 4.0]",16,5
687,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 78 93],[ 7 28 34 42 47],"[3.0, 5.0]",17,5
688,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[23 78 93],[ 2  7 15 28 42],"[3.0, 5.0]",18,5
689,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 23 40],[ 2 28 34 37 47],"[3.0, 5.0]",19,5
690,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 93],[ 2  7 19 28],"[2.0, 4.0]",20,5
691,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[78],[ 7 25 42],"[1.0, 3.0]",21,5
692,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 12 40 78 93],[15 19 34 37 42],"[5.0, 5.0]",22,5
693,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23 40 93],[ 2  7 19 25 37 47],"[4.0, 6.0]",23,5
694,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23],[ 7 15 19 25],"[2.0, 4.0]",24,5
695,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[12 23 40 78],[19 28 37 42],"[4.0, 4.0]",25,5
696,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 78],[ 2  7 34 42],"[2.0, 4.0]",26,5
697,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[23 78 93],[ 2  7 15 28 42],"[3.0, 5.0]",27,5
698,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[23],[15 25 47],"[1.0, 3.0]",28,5
699,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,[ 9 23 93],[15 28 34],"[3.0, 3.0]",29,5
700,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 37 43 62 63 77 81],[ 5 28 38 39 45],"[7.0, 5.0]",0,5
701,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[63 70 77],[ 2  5 14 18 21 28 38 45 46],"[3.0, 9.0]",1,5
702,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[62 77 93],[ 2  6 14 16 47],"[3.0, 5.0]",2,5
703,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 37 70],[ 6 18 45],"[3.0, 3.0]",3,5
704,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 37 43 62 63 77 93],[ 2  5 14 21 38 45 47],"[7.0, 7.0]",4,5
705,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 62 70 77 93],[14 16 18 21 47],"[5.0, 5.0]",5,5
706,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 43 62 70 77 81],[18 28 39 46],"[6.0, 4.0]",6,5
707,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 63 70 77],[ 5 14 18 28 38 46],"[4.0, 6.0]",7,5
708,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 62 63 77 81 93],[ 2  5 16 21 38 39 46 47],"[6.0, 8.0]",8,5
709,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[63 70 77 81 93],[ 5 18 38 39 45 46 47],"[5.0, 7.0]",9,5
710,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[62 63 77 81 93],[ 2  5  6 16 39 46 47],"[5.0, 7.0]",10,5
711,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 62 81 93],[ 6 14 16 28 39 47],"[4.0, 6.0]",11,5
712,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 62 70],[ 2 16 18 21 45],"[3.0, 5.0]",12,5
713,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 37 77],[ 2  6 14 28 38],"[3.0, 5.0]",13,5
714,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[43 62 63 77 81],[ 2  5  6 28 39],"[5.0, 5.0]",14,5
715,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 43 70 77 93],[ 2  6 14 16 18 21 45 46 47],"[5.0, 9.0]",15,5
716,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[62 77 93],[ 2  6 14 16 47],"[3.0, 5.0]",16,5
717,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 43 62 63],[ 2  5 38 45],"[4.0, 4.0]",17,5
718,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 43 62 63 70 93],[ 5  6 18 28 38 47],"[6.0, 6.0]",18,5
719,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 43 77],[14 16 21 28 46],"[3.0, 5.0]",19,5
720,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[62 77 81],[ 6 16 21 28 39],"[3.0, 5.0]",20,5
721,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 43 63],[ 5 16 45],"[3.0, 3.0]",21,5
722,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 43],[ 2  6 16 21 38 46],"[2.0, 6.0]",22,5
723,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 62 63 77],[ 5 14 16 28 38 46],"[4.0, 6.0]",23,5
724,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 37 62 63 77 81 93],[ 5 16 38 39 45 46 47],"[7.0, 7.0]",24,5
725,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 62 77 81 93],[ 6 16 39 45 47],"[5.0, 5.0]",25,5
726,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 43 77 81],[16 28 39 46],"[4.0, 4.0]",26,5
727,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 62 63 81],[ 2  5  6 14 16 21 39 46],"[4.0, 8.0]",27,5
728,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[37 62 63 93],[ 2  5 16 28 38 45 46 47],"[4.0, 8.0]",28,5
729,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,[24 63 70 77],[ 5 14 18 28 38 46],"[4.0, 6.0]",29,5
730,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[ 3 12 25 45 54 69 82],[10 19 20 21 24 31 32 37 47],"[7.0, 9.0]",0,5
731,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[25 45 57 68 73 82 87],[ 7 12 15 19 20 23 32 35 37],"[7.0, 9.0]",1,5
732,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[12 15 57 68 73 87],[ 7 15 19 23 24 31 35 37 40 47],"[6.0, 10.0]",2,5
733,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[ 3 12 15 54 57 82],[10 11 12 15 20 21 24 31 36 37 40 47],"[6.0, 12.0]",3,5
734,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[15 54 57 68 73],[ 4 10 15 23 24 31 36 37 40],"[5.0, 9.0]",4,5
735,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[45 54 57 68 87],[10 11 15 23 32 35 36],"[5.0, 7.0]",5,5
736,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[12 15 45 69 73 82 87],[ 4 19 20 31 32 35 36 37 47],"[7.0, 9.0]",6,5
737,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[12 25 57 73],[ 7 11 12 15 19 31 37 47],"[4.0, 8.0]",7,5
738,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[12 15 45 54 57 69 73 87],[ 4  7 10 15 32 35 37 47],"[8.0, 8.0]",8,5
739,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[ 3 54 57 68 73],[ 4 10 11 12 15 21 23 31 36],"[5.0, 9.0]",9,5
740,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[25 54 82 87],[ 4  7 10 11 19 20 35 36],"[4.0, 8.0]",10,5
741,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[15 25 45 54 57 68 69 87],[10 11 12 15 19 23 32 35],"[8.0, 8.0]",11,5
742,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,[15 25 45 54 57 68 69 73 82],[ 4  7 10 11 15 19 20 23 32 37 40],"[9.0, 11.0]",12,5
