,0,1
0,"[3, 7]",[22 81 95]
1,"[4, 8]",[17 27 68 89]
2,"[5, 5]",[ 2 26 29 40 83]
3,"[2, 4]",[ 3 73]
4,"[10, 12]",[ 4 22 34 43 55 63 67 81 83 95]
5,"[4, 8]",[30 46 60 94]
6,"[2, 4]",[28 94]
7,"[1, 3]",[7]
8,"[3, 9]",[18 64 76]
9,"[1, 3]",[93]
10,"[5, 5]",[16 31 47 54 71]
11,"[2, 4]",[11 71]
12,"[7, 9]",[12 23 26 41 73 78 79]
13,"[5, 9]",[13 62 71 79 85]
14,"[5, 5]",[33 53 67 69 84]
15,"[2, 4]",[15 60]
16,"[5, 7]",[10 16 36 45 84]
17,"[5, 5]",[ 1 17 42 54 91]
18,"[3, 5]",[47 48 86]
19,"[2, 4]",[19 55]
20,"[3, 5]",[33 59 63]
21,"[3, 5]",[21 60 65]
22,"[5, 7]",[ 0 46 56 81 86]
23,"[5, 7]",[ 9 12 23 40 78]
24,"[4, 6]",[24 43 63 81]
25,"[7, 11]",[25 45 54 57 73 82 87]
26,"[1, 3]",[73]
27,"[2, 4]",[42 49]
28,"[2, 4]",[63 84]
29,"[7, 7]",[ 6 29 34 37 70 84 94]
30,"[4, 8]",[60 76 80 88]
31,"[4, 8]",[31 42 65 77]
32,"[8, 10]",[ 5 12 52 61 68 72 82 94]
33,"[5, 7]",[14 33 59 74 75]
34,"[3, 5]",[34 83 84]
35,"[9, 9]",[ 6 16 30 36 51 61 76 84 88]
36,"[5, 9]",[20 24 56 63 81]
37,"[2, 4]",[38 73]
38,"[2, 4]",[ 8 39]
39,"[3, 3]",[ 2 26 40]
40,"[3, 5]",[41 77 82]
41,"[3, 9]",[ 1 49 54]
42,"[4, 8]",[20 62 70 75]
43,"[5, 7]",[17 49 53 89 92]
44,"[3, 3]",[16 45 53]
45,"[4, 6]",[46 66 68 94]
46,"[3, 5]",[18 47 67]
47,"[7, 7]",[18 21 47 65 67 74 83]
48,"[8, 10]",[13 17 44 49 71 76 90 92]
49,"[4, 4]",[ 6 28 29 64]
50,"[5, 9]",[ 5  8 29 36 94]
51,"[3, 7]",[32 52 82]
52,"[5, 7]",[14 44 53 69 78]
53,"[5, 5]",[17 25 42 54 69]
54,"[6, 6]",[ 4  9 19 55 70 95]
55,"[7, 7]",[ 4 37 56 70 81 86 94]
56,"[1, 3]",[57]
57,"[3, 7]",[44 91 92]
58,"[3, 5]",[43 70 75]
59,"[2, 6]",[21 30]
60,"[4, 6]",[ 6 12 32 79]
61,"[3, 5]",[24 43 88]
62,"[10, 12]",[ 4 14 20 28 33 63 67 74 75 83]
63,"[5, 7]",[ 8 28 29 50 84]
64,"[3, 5]",[21 31 65]
65,"[3, 5]",[18 57 66]
66,"[2, 4]",[ 4 67]
67,"[5, 9]",[25 32 57 82 94]
68,"[3, 7]",[15 33 90]
69,"[6, 8]",[ 4  9 27 34 55 59]
70,"[1, 3]",[49]
71,"[6, 8]",[ 0  5 32 57 72 95]
72,"[4, 8]",[12 25 30 73]
73,"[4, 6]",[48 63 81 83]
74,"[3, 5]",[59 63 75]
75,"[6, 8]",[ 8 30 36 60 76 82]
76,"[7, 7]",[22 24 35 41 77 85 93]
77,"[2, 4]",[12 23]
78,"[3, 5]",[12 35 93]
79,"[3, 3]",[15 30 80]
80,"[8, 10]",[ 0  4 22 24 56 63 77 81]
81,"[5, 7]",[15 46 60 68 82]
82,"[2, 4]",[29 34]
83,"[6, 8]",[ 8 16 29 33 34 84]
84,"[5, 7]",[13 22 42 54 77]
85,"[3, 7]",[18 71 86]
86,"[4, 6]",[17 25 54 87]
87,"[2, 4]",[30 36]
88,"[4, 8]",[ 1 14 57 72]
89,"[4, 6]",[ 1 49 69 90]
90,"[5, 7]",[ 7 21 60 65 91]
91,"[3, 5]",[45 78 92]
92,"[3, 9]",[ 7 24 41]
93,"[4, 8]",[18 46 51 94]
94,"[5, 7]",[ 0 19 60 67 72]
