,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
30,[ 5 11 13 30 32 41 43],16,[16 36 45 71 84],0,1,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[5.0, 7.0]"
31,[ 5 11 13 26 27 30 43],16,[53 71 84],1,1,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[3.0, 7.0]"
32,[ 5 12 22 31 32 35 36 44],17,[14 42 44 49 54 87 90 91],0,1,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[8.0, 8.0]"
33,[ 3 12 32 44],17,[ 1 17 90 91],1,1,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[4.0, 4.0]"
34,[ 3  6  9 17 30 31 37],18,[ 8 48 51 66 86],1,1,"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]","[5.0, 7.0]"
35,[ 0  9 15 27 33 44 46],19,[19 67 89],0,1,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[3.0, 7.0]"
36,[ 0  9 18 29 33 44],19,[19 72 89 95],1,1,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[4.0, 6.0]"
37,[ 2  5 38 44],20,[20 37 59 63],0,1,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[4.0, 4.0]"
38,[21 24 35 46],20,[33 63],1,1,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[2.0, 4.0]"
39,[10 12 17 18],21,[21 60 65 95],0,1,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[4.0, 4.0]"
40,[ 9 17 35],21,[48],1,1,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[1.0, 3.0]"
41,[ 0 10 18 31 40 45],22,[46 55 66 85],0,1,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[4.0, 6.0]"
42,[ 0  6  9 14 21 29 38 46],22,[ 0  4 55 56 81 86],1,1,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[6.0, 8.0]"
43,[ 7 19 34 37 47],23,[ 9 12 23 40 93],0,1,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[5.0, 5.0]"
44,[ 2 15 19 25 34 42],23,[ 9 12 23 78],1,1,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[4.0, 6.0]"
45,[38 46],24,[24 37 43 62],0,1,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[4.0, 2.0]"
46,[ 2  5  6 14 39 45],24,[43 62 63 81],1,1,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[4.0, 6.0]"
47,[ 7 10 15 19 32 37 47],25,[12 15 45 54 57 69 73],0,1,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[7.0, 7.0]"
48,[12 19 21 31 32],25,[ 3 45 73],1,1,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[3.0, 5.0]"
49,[ 7 12 34 37],26,[26 38],0,1,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[2.0, 4.0]"
50,[12 15 17 28 34 37],26,[38 40],1,1,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[2.0, 6.0]"
51,[ 2  4 10 22 36 38 44],27,[ 1 27 42 70 90],0,1,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[5.0, 7.0]"
52,[ 2  3  4 18 22 31 38 43 44],27,[ 1 49 70],1,1,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[3.0, 9.0]"
53,[ 6  8 14 23 41 42 46],28,[ 6 63 64 81 84],0,1,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[5.0, 7.0]"
54,[ 6 14 42 46],28,[63 64 81 84],1,1,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[4.0, 4.0]"
55,[ 5  6 13 18 23 28 38],29,[ 6 29 34 36 50 64 84],0,1,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[7.0, 7.0]"
