,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
153,[12 24 40],80,[15],0,1,"[15.0, 30.0, 80.0]","[1.0, 3.0]"
154,[12 24 40],80,[15],1,1,"[15.0, 30.0, 80.0]","[1.0, 3.0]"
155,[ 5  8 18 29 34 45],81,[ 4 22 50 63 77 81],0,1,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[6.0, 6.0]"
156,[ 2  6  9 23 26 30 34 35 38 39 46],81,[ 0 22 24 28 50 56 63 64 74 77 81],1,1,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[11.0, 11.0]"
157,[ 1  3  7 11 14 20 23 29 33 40 41],82,[12 25 32 41 46 76 82],0,1,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[7.0, 11.0]"
158,[12 14 23 24 33 47],82,[15 32 41 82],1,1,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[4.0, 6.0]"
159,[ 5  9 15 21 26 27 46],83,[ 2 29 63 67 83],0,1,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[5.0, 7.0]"
160,[ 5 14 15 21 38 42 46],83,[ 2  4 34 63 83],1,1,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[5.0, 7.0]"
161,[11 24 35 36 42],84,[14 33 53],0,1,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[3.0, 5.0]"
162,[ 3  5  6 23 24 26 42],84,[ 8 28 33 64 84],1,1,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[5.0, 7.0]"
163,[13 19 36 44 45],85,[13 42 54],0,1,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[3.0, 5.0]"
164,[ 0 10 13 22 34 36 43],85,[13 22 31 35 54 77 85],1,1,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[7.0, 7.0]"
165,[13 30 43],86,[71],0,1,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[1.0, 3.0]"
166,[20 21 29 31 35 43],86,[11 18 22 37 56 66],1,1,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[6.0, 6.0]"
167,[19 22 35 36],87,[17 87],0,1,"[17.0, 25.0, 54.0, 68.0, 87.0]","[2.0, 4.0]"
168,[11 22 35 36 40],87,[17 25 87],1,1,"[17.0, 25.0, 54.0, 68.0, 87.0]","[3.0, 5.0]"
169,[ 6 12 13 16 19 22 37],88,[13 62 73],0,1,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[3.0, 7.0]"
170,[ 6 26 33 37 45],88,[ 5 51 62],1,1,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[3.0, 5.0]"
171,[ 4 15 29 31 33 40 43 44],89,[44 57 72 89],0,1,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[4.0, 8.0]"
172,[ 4  5 15 16 27 29 33 43 44],89,[44 72 75],1,1,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[3.0, 9.0]"
173,[ 3 11 22 24 36 44],90,[ 1 17 69 90],0,1,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[4.0, 6.0]"
174,[18 22],90,[ 1 17 27 90],1,1,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[4.0, 2.0]"
175,[ 0  4 10 12 17 20 32 33 36 47],91,[17 60 65 79],0,1,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[4.0, 10.0]"
176,[ 4 10 12 17 22 25 32],91,[58 65 91],1,1,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[3.0, 7.0]"
177,[ 4  7 27 31 32 42],92,[44 45 78 92],0,1,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[4.0, 6.0]"
178,[ 4  7 11 22 25 31 32 39 43],92,[39 44 45 49 53 78 92],1,1,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[7.0, 9.0]"
179,[15 22 32 34 47],93,[ 7  9 23 79 93],0,1,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[5.0, 5.0]"
180,[ 2 25 34],93,[9],1,1,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[1.0, 3.0]"
181,[ 7 30 33 35 37 38 41],94,[ 6 18 29 32 51],0,1,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[5.0, 7.0]"
182,[ 1  4  7  8 26 30 33 35 37 38 40 41],94,[ 6 18 32 51 68 94],1,1,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[6.0, 12.0]"
183,[ 0  9 14 18 33],95,[ 4 19 67],0,1,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[3.0, 5.0]"
184,[12 14 18 29 32 33 39 46],95,[ 0  4 21 60],1,1,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[4.0, 8.0]"
185,[14 29 34],0,[22],0,2,"[0.0, 22.0, 72.0, 81.0, 95.0]","[1.0, 3.0]"
186,[18 21 33 34],0,[ 0 22 81 95],1,2,"[0.0, 22.0, 72.0, 81.0, 95.0]","[4.0, 4.0]"
187,[11 15 25 31 43 44],1,[44 45 58 89],0,2,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[4.0, 6.0]"
188,[10 11 32 36],1,[ 1 17 42 45],1,2,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[4.0, 4.0]"
189,[ 7 17 37],2,[26],0,2,"[2.0, 26.0, 29.0, 40.0, 83.0]","[1.0, 3.0]"
190,[ 8 17 46],2,[83],1,2,"[2.0, 26.0, 29.0, 40.0, 83.0]","[1.0, 3.0]"
191,[11 12 37 40],3,[25 73],0,2,"[3.0, 25.0, 73.0]","[2.0, 4.0]"
192,[19 21 37 40],3,[ 3 25],1,2,"[3.0, 25.0, 73.0]","[2.0, 4.0]"
193,[ 8  9 18 21 27 29 34 39 42 46],4,[22 34 67 81],0,2,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[4.0, 10.0]"
194,[ 2  5  8  9 14 16 17 18 21 29 33 34 46],4,[22 43 63 83 95],1,2,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[5.0, 13.0]"
195,[ 1 12 13 20 37],5,[ 5 60 88],0,2,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[3.0, 5.0]"
196,[ 1 13 16 20 26 29 40 41],5,[ 5 30 46 51 60 88],1,2,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[6.0, 8.0]"
197,[ 1  8 13 23 41],6,[29 36 94],0,2,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[3.0, 5.0]"
198,[26 28 38 39],6,[29 50],1,2,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[2.0, 4.0]"
199,[ 0  2 14 19 47],7,[35 77 93],0,2,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[3.0, 5.0]"
200,[ 0  2 12 14 22 28 45 47],7,[ 7 77 91 93],1,2,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[4.0, 8.0]"
201,[ 1  3  5  8 13 25 26 30 35 38 39 41 42],8,[18 29 36 39 84],0,2,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[5.0, 13.0]"
202,[ 3  5  8 13 20 21 24 26],8,[33 36 74 76],1,2,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[4.0, 8.0]"
203,[ 2 18 38],9,[70],0,2,"[9.0, 23.0, 55.0, 70.0, 93.0]","[1.0, 3.0]"
204,[ 0 18 34],9,[55],1,2,"[9.0, 23.0, 55.0, 70.0, 93.0]","[1.0, 3.0]"
205,[ 9 10 13 19 43],10,[47 54 71],0,2,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[3.0, 5.0]"
206,[10 13 28 30],10,[31 71],1,2,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[2.0, 4.0]"
207,[ 6 13 34 43],11,[71 86],0,2,"[11.0, 49.0, 71.0, 76.0, 86.0]","[2.0, 4.0]"
208,[ 3  6 13 20 34 41 43],11,[71 76 86],1,2,"[11.0, 49.0, 71.0, 76.0, 86.0]","[3.0, 7.0]"
209,[11 14 20 23 33 40],12,[12 25 32 41],0,2,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[4.0, 6.0]"
210,[ 0 13 14 15 20 22 23 25],12,[23 41 61 79],1,2,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[4.0, 8.0]"
211,[ 3 13 16 19 22 23 37 43],13,[13 35 49 61 79 88],0,2,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[6.0, 8.0]"
212,[ 0  3 13 16 19 29 37 43 44],13,[35 42 49 85 88],1,2,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[5.0, 9.0]"
213,[11 15 16 21 26 30 35 42],14,[33 47 63 67 69 75 84 89],0,2,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[8.0, 8.0]"
214,[ 9 11 16 24 26 30 35 44],14,[14 33 47 53 75 84],1,2,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[6.0, 8.0]"
215,[ 7 16 33 40 41],15,[30 60 82],0,2,"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]","[3.0, 5.0]"
216,[ 0 11 16 24 37 40],15,[25 30 73 80],1,2,"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]","[4.0, 6.0]"
217,[26 30 41 43],16,[36 71],0,2,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[2.0, 4.0]"
218,[ 5 13 27 31 32 41],16,[36 45 53 84],1,2,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[4.0, 6.0]"
219,[19 22 36 44],17,[42 54],0,2,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[2.0, 4.0]"
220,[ 3  4  5 27 35 43 44],17,[14 42 49 54 87],1,2,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[5.0, 7.0]"
221,[ 6  9 14 17 34 35 38],18,[48 56 86],0,2,"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]","[3.0, 7.0]"
222,[ 6  9 17 31],18,[18 48 66 86],1,2,"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]","[4.0, 4.0]"
223,[ 0  9 18 29 33 34 44 46],19,[55 67 72 89],0,2,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[4.0, 8.0]"
224,[ 0 27 33],19,[19],1,2,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[1.0, 3.0]"
225,[ 5  6 16 24 35 44],20,[20 33 43 59],0,2,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[4.0, 6.0]"
226,[ 5  6 21 24 35 38 44 45],20,[20 33 37 43 59 62],1,2,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[6.0, 8.0]"
227,[ 9 12 17 22 32 35],21,[48 91],0,2,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[2.0, 6.0]"
228,[10 12 18 20 32 35],21,[48 60 65 95],1,2,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[4.0, 6.0]"
229,[ 0  9 10 21 29 30 38 45 46],22,[ 0  4 22 55 56 81 85],0,2,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[7.0, 9.0]"
230,[ 1  6  9 10 21 28 30 31],22,[ 0 66 77 81 85 86],1,2,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[6.0, 8.0]"
231,[ 2 25 37],23,[23 40 93],0,2,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[3.0, 3.0]"
232,[ 2  7 19 28],23,[12 93],1,2,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[2.0, 4.0]"
233,[ 5 21 46],24,[63],0,2,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[1.0, 3.0]"
234,[ 6 14 18 21 39 45],24,[24 37 70 81],1,2,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[4.0, 6.0]"
235,[12 23 35 37 40],25,[68 73 87],0,2,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[3.0, 5.0]"
236,[ 4  7 11 21 24 31 32 35 36 37 47],25,[ 3 12 45 69 87],1,2,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[5.0, 11.0]"
237,[12 15 19 28],26,[40 73],0,2,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[2.0, 4.0]"
238,[12 17 34],26,[38],1,2,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[1.0, 3.0]"
239,[10 18 43],27,[27 42 49],0,2,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[3.0, 3.0]"
240,[18 22 43 44],27,[27 49],1,2,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[2.0, 4.0]"
241,[ 5  6 26 28 39 41],28,[ 6 28 50 64],0,2,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[4.0, 6.0]"
242,[ 6 14 26 28 41 46],28,[ 6 28 50 63 64 81],1,2,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[6.0, 6.0]"
243,[ 2  3  5  8 13 28 35 39 41],29,[ 8 29 34 36 50 70 84],0,2,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[7.0, 9.0]"
244,[ 1 13 18 23 37 42],29,[ 6 34 36 51],1,2,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[4.0, 6.0]"
245,[ 0 19 24 26 41],30,[30 36 73 80 88],0,2,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[5.0, 5.0]"
246,[13 19 20 26 33 37 41],30,[36 60 73],1,2,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[3.0, 7.0]"
247,[ 0 10 13 14 29 30 32 43],31,[ 7 71 77 85],0,2,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[4.0, 8.0]"
248,[13 29 42 43 45],31,[10 71 85],1,2,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[3.0, 5.0]"
249,[ 1 29 33 38 41],32,[32 52 94],0,2,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[3.0, 5.0]"
250,[ 4  7 12 19 20 23 33 40 47],32,[12 60 68],1,2,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[3.0, 9.0]"
251,[ 5  6 16 24 44 46],33,[20 75],0,2,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[2.0, 6.0]"
252,[ 8 11 16 21 24 27 35 44],33,[14 69 74 75],1,2,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[4.0, 8.0]"
253,[ 5  8 38 42],34,[29 84],0,2,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[2.0, 4.0]"
254,[ 2  5  8 14 17 18],34,[ 4 29 34 70 83 84],1,2,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[6.0, 6.0]"
255,[ 7 13 14 28 45],35,[12 13 35 77 79],0,2,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[5.0, 5.0]"
256,[ 0  7 10 13 22 29 45 47],35,[12 13 35 85],1,2,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[4.0, 8.0]"
257,[ 1  5  8 20 35 37 38 41 42],36,[ 8 29 51 76 84],0,2,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[5.0, 9.0]"
258,[ 1  8 12 16 37 38 41],36,[29 30 51],1,2,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[3.0, 7.0]"
259,[ 2  5  6 14 16 21 34 46],37,[24 37 56 62 63 86],0,2,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[6.0, 8.0]"
260,[ 8 16 24 30 38 45 46],37,[20 29 37 56 62 64 81],1,2,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[7.0, 7.0]"
261,[ 7 22 32 34 37],38,[26 38 91],0,2,"[26.0, 38.0, 65.0, 73.0, 91.0]","[3.0, 5.0]"
262,[10 12 17 22],38,[65 91],1,2,"[26.0, 38.0, 65.0, 73.0, 91.0]","[2.0, 4.0]"
263,[11 25 43],39,[92],0,2,"[8.0, 39.0, 49.0, 64.0, 92.0]","[1.0, 3.0]"
264,[ 6 11 25 26 39 43],39,[64 92],1,2,"[8.0, 39.0, 49.0, 64.0, 92.0]","[2.0, 6.0]"
265,[ 7 15 17 28],40,[26 40],0,2,"[2.0, 23.0, 26.0, 40.0, 93.0]","[2.0, 4.0]"
266,[15 17 38],40,[2],1,2,"[2.0, 23.0, 26.0, 40.0, 93.0]","[1.0, 3.0]"
267,[14 19 40],41,[12 41 82],0,2,"[12.0, 41.0, 77.0, 82.0, 93.0]","[3.0, 3.0]"
268,[ 7 19 20 28 45],41,[12 41 77],1,2,"[12.0, 41.0, 77.0, 82.0, 93.0]","[3.0, 5.0]"
269,[ 4 10 13 19 22 28 43 44 45],42,[13 17 31 42 54],0,2,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[5.0, 9.0]"
270,[ 3  4 10 13 19 22 43 45],42,[13 17 49 54],1,2,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[4.0, 8.0]"
271,[ 2  5  6 18 21 24 38],43,[20 63 70],0,2,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[3.0, 7.0]"
272,[ 2 14 18 24 45 46],43,[ 4 24 43 59 63 75],1,2,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[6.0, 6.0]"
273,[ 4  5 15 27 36 43 44],44,[14 44 89],0,2,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[3.0, 7.0]"
274,[11 25 43],44,[92],1,2,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[1.0, 3.0]"
275,[ 3  4 11 13 15 31 32 36 40 42 43],45,[16 57 58 90 92],0,2,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[5.0, 11.0]"
276,[ 3  4 11 15 24 25 27 31 40 42],45,[45 53 57 58 69 90],1,2,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[6.0, 10.0]"
277,[ 1 14 15 16 23 29 34 38 40],46,[ 5 22 46 72 94],0,2,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[5.0, 9.0]"
278,[ 1  4  7 14 20 29 33 38],46,[22 46 57 66 68 72 82 94],1,2,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[8.0, 8.0]"
279,[ 1  5  9 17 19 30 36 42 46],47,[10 14 18 47 48 54 67],0,2,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[7.0, 9.0]"
280,[ 1  5  9 10 17 19 27 30],47,[14 18 48 54],1,2,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[4.0, 8.0]"
281,[ 1 10 17 20 27 30 35 46],48,[18 21 65 67],0,2,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[4.0, 8.0]"
282,[ 9 17 20 30 32 35 36],48,[21 47 48],1,2,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[3.0, 7.0]"
283,[ 6 11 25 27 36 41],49,[11 17 44 49 76 92],0,2,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[6.0, 6.0]"
284,[ 3 11 18 25 27 28 36 43],49,[17 27 31 42 44 92],1,2,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[6.0, 8.0]"
285,[ 5  6  8 14 38 39 41 45],50,[ 6 28 29 50 64 77],0,2,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[6.0, 8.0]"
286,[ 5  8 23 28 35 45],50,[28 74 77 81],1,2,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[4.0, 6.0]"
287,[16 26 37 41],51,[36 88],0,2,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[2.0, 4.0]"
288,[16 23 26 30 33 35 37 38],51,[ 5 18 51 94],1,2,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[4.0, 8.0]"
289,[ 1  7 23 29 33 40],52,[32 46],0,2,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[2.0, 6.0]"
290,[ 7  8 23 29],52,[ 6 52],1,2,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[2.0, 4.0]"
291,[11 13 32 42],53,[16 45],0,2,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[2.0, 4.0]"
292,[ 4  5 13 24 25 26 27 31 36],53,[16 44 69 84 92],1,2,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[5.0, 9.0]"
293,[ 0  4 10 11 19 29 40 44],54,[17 25 35 42 54 85],0,2,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[6.0, 8.0]"
294,[ 4 10 11 30 40 42 44],54,[10 17 25 42 54],1,2,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[5.0, 7.0]"
295,[ 0  2 18 25],55,[ 9 55],0,2,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[2.0, 4.0]"
296,[ 0  9 18 29 33 46],55,[ 4 22 55 95],1,2,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[4.0, 6.0]"
297,[ 1  2  6 18 21 23 29 30 39],56,[22 70 81 86 94],0,2,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[5.0, 9.0]"
298,[ 2  6 14 18 21 29 34],56,[22 37 70],1,2,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[3.0, 7.0]"
299,[19 23 27 29 32 34],57,[ 1 25 45 46 57 66 68 89],0,2,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[8.0, 6.0]"
300,[15 19 23 27 32 33 34],57,[ 1 25 45 46 57 66 68 72 89],1,2,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[9.0, 7.0]"
301,[ 4 11 12 22 43],58,[58 91 92],0,2,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[3.0, 5.0]"
302,[12 22 32],58,[91],1,2,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[1.0, 3.0]"
303,[ 3  5 16 24 38 44],59,[27 59 70 75],0,2,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[4.0, 6.0]"
304,[ 3  6 16 18],59,[20 27 43 59],1,2,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[4.0, 4.0]"
305,[ 7  9 12 23 32],60,[21 32 60],0,2,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[3.0, 5.0]"
306,[ 7 12 16 23 33 41],60,[30 32],1,2,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[2.0, 6.0]"
307,[ 7  8 13 26 33],61,[ 6 32 36],0,2,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[3.0, 5.0]"
308,[ 8 19 22 26 33 45 47],61,[ 6 12 13 32 36],1,2,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[5.0, 7.0]"
309,[ 2 21 22 24 37 45 46],62,[13 20 24 62 88],0,2,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[5.0, 7.0]"
310,[ 6 16 21 24 45],62,[20 24 43],1,2,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[3.0, 5.0]"
