,0,1
0,"[4, 6]",[22 72 81 95]
1,"[4, 6]",[17 45 57 58]
2,"[1, 3]",[40]
3,"[2, 4]",[ 3 25]
4,"[6, 10]",[22 34 55 56 67 95]
5,"[7, 9]",[ 5 30 46 51 60 72 88]
6,"[3, 3]",[ 6 36 61]
7,"[5, 7]",[31 35 65 77 91]
8,"[7, 9]",[ 8 29 33 39 51 74 84]
9,"[2, 4]",[55 70]
10,"[3, 5]",[10 54 71]
11,"[3, 5]",[49 71 86]
12,"[5, 7]",[25 32 35 61 82]
13,"[8, 8]",[13 35 42 49 61 62 79 85]
14,"[6, 6]",[14 33 47 53 69 84]
15,"[5, 9]",[30 60 69 73 80]
16,"[4, 6]",[36 45 53 84]
17,"[5, 7]",[ 1 17 54 90 91]
18,"[6, 10]",[18 47 51 56 66 86]
19,"[3, 5]",[19 67 72]
20,"[2, 4]",[43 59]
21,"[3, 5]",[60 65 91]
22,"[5, 5]",[22 46 66 77 85]
23,"[4, 4]",[23 40 78 93]
24,"[4, 4]",[24 63 77 93]
25,"[7, 9]",[ 3 12 15 45 54 69 73]
26,"[5, 5]",[ 2 12 26 38 73]
27,"[2, 4]",[42 49]
28,"[4, 8]",[ 6 50 64 81]
29,"[9, 9]",[ 6 34 36 37 50 51 64 70 94]
30,"[7, 7]",[15 30 36 60 73 76 88]
31,"[3, 7]",[10 31 65]
32,"[5, 5]",[12 32 60 61 82]
33,"[3, 7]",[14 59 63]
34,"[1, 3]",[83]
35,"[4, 6]",[12 13 77 79]
36,"[7, 9]",[ 6 29 36 51 61 76 84]
37,"[7, 11]",[24 29 62 63 74 81 86]
38,"[3, 3]",[38 65 91]
39,"[3, 3]",[ 8 39 64]
40,"[1, 3]",[23]
41,"[1, 3]",[12]
42,"[5, 9]",[ 1 27 42 49 91]
43,"[3, 7]",[ 4 20 43]
44,"[7, 9]",[ 1 17 44 49 53 89 92]
45,"[6, 10]",[ 1 16 53 69 90 92]
46,"[1, 3]",[94]
47,"[2, 4]",[14 54]
48,"[3, 7]",[21 74 83]
49,"[7, 7]",[11 27 39 42 49 76 92]
50,"[3, 5]",[64 77 81]
51,"[5, 7]",[ 5  8 18 51 94]
52,"[3, 7]",[32 72 76]
53,"[4, 4]",[14 53 78 92]
54,"[3, 7]",[25 42 87]
55,"[4, 4]",[ 4 19 22 55]
56,"[4, 6]",[18 22 81 86]
57,"[6, 6]",[25 45 46 57 66 72]
58,"[3, 5]",[44 45 58]
59,"[4, 6]",[20 33 59 75]
60,"[8, 6]",[15 21 30 60 76 82 91 95]
61,"[3, 7]",[13 32 79]
62,"[4, 2]",[20 24 43 62]
63,"[8, 12]",[ 4 14 20 24 28 43 63 67]
64,"[4, 2]",[29 37 50 64]
65,"[6, 6]",[ 7 21 31 48 65 91]
66,"[4, 4]",[18 22 46 86]
67,"[4, 6]",[19 47 63 67]
68,"[4, 4]",[ 1 32 68 82]
69,"[3, 7]",[15 33 69]
70,"[6, 10]",[ 4  9 27 29 34 43]
71,"[4, 4]",[11 16 71 86]
72,"[6, 10]",[19 32 57 72 89 95]
73,"[3, 3]",[ 3 25 73]
74,"[3, 5]",[ 8 29 83]
75,"[2, 4]",[59 89]
76,"[5, 7]",[ 8 11 49 52 82]
77,"[7, 7]",[ 7 22 31 35 50 81 85]
78,"[4, 4]",[12 23 53 78]
79,"[5, 7]",[ 7 12 61 79 91]
80,"[2, 4]",[15 30]
81,"[8, 12]",[ 0 22 28 50 56 63 64 81]
82,"[5, 9]",[32 41 46 68 76]
83,"[2, 6]",[48 63]
84,"[8, 10]",[16 28 29 33 34 36 64 84]
85,"[6, 8]",[13 31 35 42 54 77]
86,"[2, 4]",[37 86]
87,"[3, 3]",[25 68 87]
88,"[3, 7]",[ 5 13 30]
89,"[6, 8]",[14 19 44 57 75 89]
90,"[4, 4]",[45 49 69 90]
91,"[4, 8]",[ 7 42 60 79]
92,"[7, 9]",[39 44 45 49 53 78 92]
93,"[3, 5]",[ 9 23 24]
94,"[3, 7]",[ 5 18 29]
95,"[4, 6]",[21 60 67 95]
