,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
31,[25 60 69 80 82],"[5.0, 7.0]",[ 0  7 12 19 33 36 41],"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]",15,10,1
32,[45],"[1.0, 3.0]",[11 31 32],"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]",16,10,0
33,[53],"[1.0, 3.0]",[11 27 42],"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]",16,10,1
34,[14 91],"[2.0, 6.0]",[ 5 12 22 27 32 36],"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]",17,10,0
35,[14 91],"[2.0, 6.0]",[ 5 12 22 27 32 36],"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]",17,10,1
36,[ 8 47 86],"[3.0, 7.0]",[ 3  6  9 26 34 35 36],"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]",18,10,0
37,[ 8 47 86],"[3.0, 7.0]",[ 3  6  9 26 34 35 36],"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]",18,10,1
38,[19 67],"[2.0, 4.0]",[ 0  9 33 46],"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]",19,10,0
39,[19 67 95],"[3.0, 3.0]",[ 0 18 46],"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]",19,10,1
40,[43],"[1.0, 3.0]",[ 2 16 46],"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,10,0
41,[20 59],"[2.0, 4.0]",[ 2  6 44 46],"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]",20,10,1
42,[21 95],"[2.0, 4.0]",[18 20 32 33],"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,10,0
43,[21 95],"[2.0, 4.0]",[18 20 32 33],"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]",21,10,1
44,[ 0 22 56 81 86],"[5.0, 5.0]",[ 6  9 14 21 38],"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,10,0
45,[ 0 22 56 81 86],"[5.0, 5.0]",[ 6  9 14 21 38],"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]",22,10,1
46,[9],"[1.0, 3.0]",[ 2 25 34],"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,10,0
47,[12 23],"[2.0, 4.0]",[ 7 15 19 25],"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]",23,10,1
48,[37 62 70 77],"[4.0, 6.0]",[ 2 14 16 18 21 28],"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,10,0
49,[37 62 70 77],"[4.0, 6.0]",[ 2 14 16 18 21 28],"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]",24,10,1
50,[ 3 25 57 68 69 87],"[6.0, 10.0]",[11 15 21 23 24 31 35 36 37 40],"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,10,0
51,[ 3 25 57 68 69 87],"[6.0, 10.0]",[11 15 21 23 24 31 35 36 37 40],"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]",25,10,1
52,[],"[0.0, 0.0]",[],"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]",26,10,0
53,[],"[0.0, 0.0]",[],"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]",26,10,1
54,[ 1 49 59 90],"[4.0, 6.0]",[ 2  4 22 24 36 43],"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]",27,10,0
55,[27 42 59],"[3.0, 7.0]",[ 2  3 10 18 22 24 44],"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]",27,10,1
56,[28 64 81 84],"[4.0, 6.0]",[ 6 14 21 23 39 42],"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]",28,10,0
57,[28 64 81 84],"[4.0, 6.0]",[ 6 14 21 23 39 42],"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]",28,10,1
58,[ 6  8 29 37 64 74 83 84],"[8.0, 8.0]",[ 3  5 17 23 39 41 42 46],"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]",29,10,0
59,[ 6  8 29 37 64 74 83 84],"[8.0, 8.0]",[ 3  5 17 23 39 41 42 46],"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]",29,10,1
60,[ 5 15 30 80],"[4.0, 4.0]",[ 0  1 33 40],"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]",30,10,0
61,[ 5 60],"[2.0, 4.0]",[ 1 12 16 20],"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]",30,10,1
62,[ 7 31 42 71],"[4.0, 6.0]",[ 0 13 22 30 32 44],"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]",31,10,0
63,[31 42 65],"[3.0, 7.0]",[10 17 22 28 32 43 44],"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]",31,10,1
64,[ 5 60 61 82],"[4.0, 8.0]",[ 1  7 12 13 16 23 40 47],"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]",32,10,0
65,[ 5 60 61 82],"[4.0, 8.0]",[ 1  7 12 13 16 23 40 47],"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]",32,10,1
66,[14 20 63 69 74],"[5.0, 5.0]",[ 6  8 11 27 35],"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]",33,10,0
67,[14 20 63 69 74],"[5.0, 5.0]",[ 6  8 11 27 35],"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]",33,10,1
68,[70 83],"[2.0, 6.0]",[ 2  8 17 18 38 46],"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]",34,10,0
69,[ 4 29 34 83],"[4.0, 6.0]",[ 8 14 17 26 38 42],"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]",34,10,1
70,[ 7 13 35 54 77 79 85],"[7.0, 7.0]",[ 0 13 14 29 32 36 47],"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]",35,10,0
71,[ 7 13 35 54 77 79 85],"[7.0, 7.0]",[ 0 13 14 29 32 36 47],"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]",35,10,1
72,[30],"[1.0, 3.0]",[12 16 41],"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]",36,10,0
73,[30],"[1.0, 3.0]",[12 16 41],"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]",36,10,1
74,[24 37 62 63 64 70 74 81 86],"[9.0, 11.0]",[ 5  8 14 16 18 21 26 30 34 35 46],"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]",37,10,0
75,[20 29 64 81],"[4.0, 6.0]",[ 8 14 21 24 38 46],"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]",37,10,1
76,[26],"[1.0, 3.0]",[ 7 17 37],"[26.0, 38.0, 65.0, 73.0, 91.0]",38,10,0
77,[26],"[1.0, 3.0]",[ 7 17 37],"[26.0, 38.0, 65.0, 73.0, 91.0]",38,10,1
78,[ 8 92],"[2.0, 6.0]",[ 3 11 25 26 35 43],"[8.0, 39.0, 49.0, 64.0, 92.0]",39,10,0
79,[ 8 92],"[2.0, 6.0]",[ 3 11 25 26 35 43],"[8.0, 39.0, 49.0, 64.0, 92.0]",39,10,1
80,[ 2 26],"[2.0, 4.0]",[ 7 15 37 38],"[2.0, 23.0, 26.0, 40.0, 93.0]",40,10,0
81,[ 2 26],"[2.0, 4.0]",[ 7 15 37 38],"[2.0, 23.0, 26.0, 40.0, 93.0]",40,10,1
82,[41],"[1.0, 3.0]",[14 20 47],"[12.0, 41.0, 77.0, 82.0, 93.0]",41,10,0
83,[12 41],"[2.0, 4.0]",[ 7 14 19 20],"[12.0, 41.0, 77.0, 82.0, 93.0]",41,10,1
84,[13 17 42 54 91],"[5.0, 7.0]",[ 4 12 13 19 32 44 45],"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]",42,10,0
85,[13 17 42 54 91],"[5.0, 7.0]",[ 4 12 13 19 32 44 45],"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]",42,10,1
86,[ 4 24 59 63],"[4.0, 6.0]",[ 5 14 18 24 44 45],"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]",43,10,0
87,[ 4 24 59 63],"[4.0, 6.0]",[ 5 14 18 24 44 45],"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]",43,10,1
88,[58 92],"[2.0, 4.0]",[ 4 11 32 43],"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]",44,10,0
89,[17 58 89],"[3.0, 7.0]",[15 22 25 27 32 36 44],"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]",44,10,1
90,[25 45 58 90],"[4.0, 6.0]",[ 3  4 19 25 36 40],"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]",45,10,0
91,[25 45 58 90],"[4.0, 6.0]",[ 3  4 19 25 36 40],"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]",45,10,1
92,[ 5 52 57 66 72 82 94],"[7.0, 7.0]",[ 1 16 20 23 34 38 41],"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]",46,10,0
93,[ 5 52 57 66 72 82 94],"[7.0, 7.0]",[ 1 16 20 23 34 38 41],"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]",46,10,1
94,[10 14 18 48 67],"[5.0, 7.0]",[ 1  5 10 17 36 42 46],"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]",47,10,0
95,[10 48 54],"[3.0, 7.0]",[ 9 17 19 30 35 36 42],"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]",47,10,1
96,[48 65],"[2.0, 4.0]",[ 9 10 32 35],"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]",48,10,0
97,[48 65 74],"[3.0, 5.0]",[ 8  9 10 21 32],"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]",48,10,1
98,[13 17 31 39 42 44 92],"[7.0, 11.0]",[ 3 11 13 22 27 28 36 39 43 44 45],"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]",49,10,0
99,[13 17 31 39 42 44 92],"[7.0, 11.0]",[ 3 11 13 22 27 28 36 39 43 44 45],"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]",49,10,1
100,[ 6 28 74 81],"[4.0, 4.0]",[ 5 14 35 41],"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]",50,10,0
101,[ 6 28 74 81],"[4.0, 4.0]",[ 5 14 35 41],"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]",50,10,1
102,[36 51 88 94],"[4.0, 4.0]",[16 23 38 41],"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]",51,10,0
103,[ 8 51],"[2.0, 4.0]",[ 1  3 35 37],"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]",51,10,1
104,[46 72 76 82],"[4.0, 6.0]",[ 1  3  7 15 33 41],"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]",52,10,0
105,[46 72 76 82],"[4.0, 6.0]",[ 1  3  7 15 33 41],"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]",52,10,1
106,[14 16 44 69 78 92],"[6.0, 6.0]",[ 4  5  7 13 24 31],"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]",53,10,0
107,[14 16 44 69 78 92],"[6.0, 6.0]",[ 4  5  7 13 24 31],"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]",53,10,1
108,[10 47 54 69],"[4.0, 6.0]",[ 9 11 19 24 36 42],"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]",54,10,0
109,[17 35 42 47 54 85],"[6.0, 8.0]",[ 0  4  9 10 29 30 36 44],"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]",54,10,1
110,[19 22 70],"[3.0, 9.0]",[ 0  2 14 18 27 29 33 34 38],"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]",55,10,0
111,[19 22 70],"[3.0, 9.0]",[ 0  2 14 18 27 29 33 34 38],"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]",55,10,1
112,[ 4 18 56 81 86 94],"[6.0, 10.0]",[ 6 14 18 21 23 30 34 35 39 46],"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]",56,10,0
