,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
155,[24 35 41 81 85],"[5.0, 9.0]",[ 0  2 10 19 20 29 39 45 47],"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]",77,10,1
156,[],"[0.0, 0.0]",[],"[12.0, 23.0, 53.0, 78.0, 92.0]",78,10,0
157,[],"[0.0, 0.0]",[],"[12.0, 23.0, 53.0, 78.0, 92.0]",78,10,1
158,[12 13 35 61 79],"[5.0, 3.0]",[ 7 23 47],"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]",79,10,0
159,[12 13 35 61 79],"[5.0, 3.0]",[ 7 23 47],"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]",79,10,1
160,[15],"[1.0, 3.0]",[12 24 40],"[15.0, 30.0, 80.0]",80,10,0
161,[15],"[1.0, 3.0]",[12 24 40],"[15.0, 30.0, 80.0]",80,10,1
162,[ 0 50 64],"[3.0, 7.0]",[ 6  8  9 26 28 29 39],"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]",81,10,0
163,[ 0 50 64],"[3.0, 7.0]",[ 6  8  9 26 28 29 39],"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]",81,10,1
164,[46 52 60 76],"[4.0, 6.0]",[ 1  3  7 12 33 40],"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]",82,10,0
165,[46 52 68 82],"[4.0, 6.0]",[ 1  4 20 23 40 41],"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]",82,10,1
166,[63 74],"[2.0, 4.0]",[ 5  8 35 46],"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]",83,10,0
167,[63 74],"[2.0, 4.0]",[ 5  8 35 46],"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]",83,10,1
168,[ 8 16 34 36 64],"[5.0, 9.0]",[ 3  6  8 18 26 31 35 39 41],"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]",84,10,0
169,[ 8 16 34 36 64],"[5.0, 9.0]",[ 3  6  8 18 26 31 35 39 41],"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]",84,10,1
170,[13 35 42 54 77 85],"[6.0, 8.0]",[ 0 10 13 14 28 29 36 44],"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]",85,10,0
171,[42],"[1.0, 3.0]",[10 22 44],"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]",85,10,1
172,[37 56 71],"[3.0, 5.0]",[ 6 13 14 21 43],"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]",86,10,0
173,[37 56 71],"[3.0, 5.0]",[ 6 13 14 21 43],"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]",86,10,1
174,[17 54],"[2.0, 4.0]",[ 4 10 19 22],"[17.0, 25.0, 54.0, 68.0, 87.0]",87,10,0
175,[17 54],"[2.0, 4.0]",[ 4 10 19 22],"[17.0, 25.0, 54.0, 68.0, 87.0]",87,10,1
176,[30 36 51 73 88],"[5.0, 3.0]",[ 1 19 37],"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]",88,10,0
177,[13 36 51 62],"[4.0, 6.0]",[ 1  6 16 22 37 41],"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]",88,10,1
178,[14 19 72],"[3.0, 5.0]",[ 0  5 15 29 36],"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]",89,10,0
179,[14 19 72],"[3.0, 5.0]",[ 0  5 15 29 36],"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]",89,10,1
180,[ 1 17 27],"[3.0, 5.0]",[ 3 18 22 31 36],"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]",90,10,0
181,[ 1 17 27],"[3.0, 5.0]",[ 3 18 22 31 36],"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]",90,10,1
182,[ 7 38 42 60 65 79 91],"[7.0, 9.0]",[12 20 22 28 32 33 34 44 47],"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]",91,10,0
183,[ 7 38 42 60 65 79 91],"[7.0, 9.0]",[12 20 22 28 32 33 34 44 47],"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]",91,10,1
184,[39 78],"[2.0, 4.0]",[ 3  7 39 42],"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]",92,10,0
185,[39 44 45 49 53 58 78],"[7.0, 5.0]",[ 7 22 25 31 39],"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]",92,10,1
186,[23 77 79 93],"[4.0, 8.0]",[ 0  2 14 15 22 25 45 47],"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]",93,10,0
187,[23 77 79 93],"[4.0, 8.0]",[ 0  2 14 15 22 25 45 47],"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]",93,10,1
188,[ 6 18 29 51 94],"[5.0, 5.0]",[ 1 30 35 37 41],"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]",94,10,0
189,[ 6 18 29 51 94],"[5.0, 5.0]",[ 1 30 35 37 41],"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]",94,10,1
190,[ 0 19 55 95],"[4.0, 4.0]",[27 29 34 39],"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]",95,10,0
191,[21 55 72 95],"[4.0, 6.0]",[ 0 15 20 29 32 34],"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]",95,10,1
