,ts_size,snr,row,c_nodes,v_nodes,sim_index
142,"[8.0, 8.0]",10,71,[ 3 13 20 28 30 31 34 45],[10 11 13 16 31 49 71 86],0
143,"[8.0, 8.0]",10,71,[ 3 13 20 28 30 31 34 45],[10 11 13 16 31 49 71 86],1
144,"[10.0, 10.0]",10,72,[ 0 15 16 18 23 31 33 39 41 44],[ 0  5 19 32 46 52 57 72 89 95],0
145,"[10.0, 10.0]",10,72,[ 0 15 16 18 23 31 33 39 41 44],[ 0  5 19 32 46 52 57 72 89 95],1
146,"[9.0, 7.0]",10,73,[13 19 21 24 34 41 47],[ 3 12 15 25 26 30 38 73 88],0
147,"[9.0, 7.0]",10,73,[13 19 21 24 34 41 47],[ 3 12 15 25 26 30 38 73 88],1
148,"[10.0, 6.0]",10,74,[ 3  6  9 14 24 28],[ 8 29 33 37 48 50 63 74 81 83],0
149,"[10.0, 6.0]",10,74,[ 3  6  9 14 24 28],[ 8 29 33 37 48 50 63 74 81 83],1
150,"[7.0, 5.0]",10,75,[15 21 35 36 44],[14 33 43 59 63 75 89],0
151,"[7.0, 5.0]",10,75,[15 21 35 36 44],[14 33 43 59 63 75 89],1
152,"[9.0, 9.0]",10,76,[ 3  6 13 16 22 29 33 35 40],[ 8 11 30 36 49 52 60 76 82],0
153,"[9.0, 9.0]",10,76,[ 3  6 13 16 22 29 33 35 40],[ 8 11 30 36 49 52 60 76 82],1
154,"[11.0, 7.0]",10,77,[ 8 19 20 28 32 34 43],[ 7 22 24 31 35 41 50 77 81 85 93],0
155,"[11.0, 7.0]",10,77,[ 8 19 20 28 32 34 43],[ 7 22 24 31 35 41 50 77 81 85 93],1
156,"[5.0, 5.0]",10,78,[15 19 25 27 43],[12 23 53 78 92],0
157,"[5.0, 5.0]",10,78,[15 19 25 27 43],[12 23 53 78 92],1
158,"[8.0, 6.0]",10,79,[ 0  2  7 12 22 23],[ 7 12 13 35 61 79 91 93],0
159,"[8.0, 6.0]",10,79,[ 0  2  7 12 22 23],[ 7 12 13 35 61 79 91 93],1
160,"[3.0, 3.0]",10,80,[ 0 16 40],[15 30 80],0
161,"[3.0, 3.0]",10,80,[ 0 16 40],[15 30 80],1
162,"[13.0, 11.0]",10,81,[ 2  9 14 18 21 23 26 30 34 35 39],[ 0  4 22 24 28 37 50 56 63 64 74 77 81],0
163,"[13.0, 11.0]",10,81,[ 2  9 14 18 21 23 26 30 34 35 39],[ 0  4 22 24 28 37 50 56 63 64 74 77 81],1
164,"[11.0, 7.0]",10,82,[ 1  3  4 11 14 24 40],[12 15 25 32 41 46 52 60 68 76 82],0
165,"[11.0, 7.0]",10,82,[ 1  3  4 11 14 24 40],[12 15 25 32 41 46 52 60 68 76 82],1
166,"[9.0, 7.0]",10,83,[ 5 14 15 17 26 27 42],[ 2  4 29 34 48 63 67 74 83],0
