,row,v_nodes,c_nodes,ts_size,snr,sim_index
155,77,[ 1  2  5  7  8  9 22 24 31 35 41 50 77 81 85 93],[ 1  2  3  4  8 15 16 17 19 20 25 26 28 31 32 33 35 38 43 44],"[16.0, 20.0]",10,1
156,78,[ 1  2  4 12 23 53 78 92],[ 4 14 17 18 19 25 27 31 38 43 44 46],"[8.0, 12.0]",10,0
157,78,[ 3 12 23 53 78 92],[11 15 19 21 25 27 37 43],"[6.0, 8.0]",10,1
158,79,[ 3  7 12 13 35 61 79 91 93],[ 0  2  7 11 12 21 22 23 37],"[9.0, 9.0]",10,0
159,79,[ 3  7 12 13 35 61 79 91 93],[ 0  2  7 11 12 21 22 23 37],"[9.0, 9.0]",10,1
160,80,[ 0  1  2 15 30 80],[ 0  4  9 15 16 17 29 31 38 39 40 44],"[6.0, 12.0]",10,0
161,80,[ 0  1  2 15 30 80],[ 0  4  9 15 16 17 29 31 38 39 40 44],"[6.0, 12.0]",10,1
162,81,[ 0  1  2  4  6  7  9 11 22 24 28 37 50 56 63 64 74 77 81],[ 0  4  6  8  9 14 15 17 18 20 21 25 26 28 30 31 32 35 38 39 41 43 44],"[19.0, 23.0]",10,0
163,81,[ 0  1  2  3  4  8  9 22 24 28 37 50 56 63 64 74 77 81],[ 3  4  9 11 14 15 17 18 23 25 30 31 37 38 39 44],"[18.0, 16.0]",10,1
164,82,[ 1  2  3  5  9 12 15 25 32 41 46 52 60 68 76 82],[ 2  3 14 15 16 17 21 24 25 31 33 34 37 38 40 44],"[16.0, 16.0]",10,0
165,82,[ 1  2  3  5  9 12 15 25 32 41 46 52 60 68 76 82],[ 2  3 14 15 16 17 21 24 25 31 33 34 37 38 40 44],"[16.0, 16.0]",10,1
166,83,[ 2  4  8 29 34 48 63 67 74 83],[ 3  5 14 15 17 27 35 42],"[10.0, 8.0]",10,0
167,83,[ 2  4  8 29 34 48 63 67 74 83],[ 3  5 14 15 17 27 35 42],"[10.0, 8.0]",10,1
168,84,[ 3  8 14 16 28 29 33 34 36 53 64 84],[ 3  6 18 21 23 24 26 31 36 37 38 41],"[12.0, 12.0]",10,0
169,84,[ 4  6  8 14 16 28 29 33 34 36 53 64 84],[ 3  6  8 11 14 24 26 31 36 38 46],"[13.0, 11.0]",10,1
170,85,[ 6 13 22 31 35 42 54 77 85],[ 0  8 13 23 34 36 41 43 44],"[9.0, 9.0]",10,0
171,85,[ 6 13 22 31 35 42 54 77 85],[ 0  8 13 23 34 36 41 43 44],"[9.0, 9.0]",10,1
172,86,[ 0  1 11 18 22 37 56 66 71 86],[ 4  6  9 13 20 21 34 35 39 44],"[10.0, 10.0]",10,0
173,86,[ 0  1 11 18 22 37 56 66 71 86],[ 4  6  9 13 20 21 34 35 39 44],"[10.0, 10.0]",10,1
174,87,[ 0  1 17 25 54 68 87],[ 9 10 11 19 22 23 29 31 35 39 44],"[7.0, 11.0]",10,0
175,87,[ 0 17 25 54 68 87],[ 4  9 10 11 19 22 23 29 35 39],"[6.0, 10.0]",10,1
176,88,[ 0  5  7 13 30 36 51 62 73 88],[ 0  6  9 13 19 22 28 29 32 33 37 39],"[10.0, 12.0]",10,0
177,88,[ 0  5  7 13 30 36 51 62 73 88],[ 0  6  9 13 19 22 28 29 32 33 37 39],"[10.0, 12.0]",10,1
178,89,[ 0  1  5 14 19 44 57 72 75 89],[ 0  1  9 15 33 36 39 40 43 44],"[10.0, 10.0]",10,0
179,89,[ 0  1  5 14 19 44 57 72 75 89],[ 0  1  9 15 33 36 39 40 43 44],"[10.0, 10.0]",10,1
180,90,[ 0  1  5 17 27 45 49 69 90],[ 1  3  9 16 18 24 29 31 32 33 36 39 43],"[9.0, 13.0]",10,0
181,90,[ 0  1  6 17 27 45 49 69 90],[ 3  8  9 18 23 24 29 31 32 36 39 41 43],"[9.0, 13.0]",10,1
182,91,[ 0  1  6  7 17 21 38 42 58 60 65 79 91],[ 4  8 12 23 25 28 29 31 32 33 34 36 39 41 47],"[13.0, 15.0]",10,0
183,91,[ 1  2  5  7  8  9 17 21 38 42 58 60 65 79 91],[ 1  2  3  4  9 12 15 16 17 26 28 31 32 35 36 38 47],"[15.0, 17.0]",10,1
184,92,[ 1  2  5 39 44 45 49 53 58 78 92],[ 1  4  7 11 15 16 17 22 33 38 39 43 44],"[11.0, 13.0]",10,0
185,92,[ 1  2  5 39 44 45 49 53 58 78 92],[ 1  4  7 11 15 16 17 22 33 38 39 43 44],"[11.0, 13.0]",10,1
186,93,[ 1  3  4  5  7  8  9 23 24 40 41 77 79 93],[ 1  2  3  4 11 14 16 18 20 22 26 31 32 33 34 35 44 46],"[14.0, 18.0]",10,0
187,93,[ 1  3  4  5  7  8  9 23 24 40 41 77 79 93],[ 1  2  3  4 11 14 16 18 20 22 26 31 32 33 34 35 44 46],"[14.0, 18.0]",10,1
188,94,[ 1  3  4  5  6  8  9 18 29 32 46 51 56 68 94],[ 1  2  3  7 11 16 18 21 25 26 29 31 34 38 41 44 46],"[15.0, 17.0]",10,0
189,94,[ 0  5  6  9 18 29 32 46 51 56 68 94],[ 1  2  4  7  9 14 16 25 34 35 37 38 39 41],"[12.0, 14.0]",10,1
190,95,[ 0  4  5 19 21 55 60 67 72 95],[ 1 12 14 15 16 18 32 33 34 39],"[10.0, 10.0]",10,0
191,95,[ 0  4  5 19 21 55 60 67 72 95],[ 1 12 14 15 16 18 32 33 34 39],"[10.0, 10.0]",10,1
